ID,Model Type,Data Type,Day,Train Accuracy,Train Loss,Train F1 Score,Train Cohen Kappa Score,Validation Accuracy,Validation Loss,Validation F1 Score,Validation Cohen Kappa Score,Comments
1,Densenet,No Augmentation,Day1,"[61.310259579728054, 91.34734239802225, 92.95426452410383, 96.5389369592089, 98.51668726823239, 99.2583436341162, 99.2583436341162, 98.02224969097651, 99.2583436341162, 99.6291718170581, 99.87639060568603, 99.75278121137207, 99.75278121137207, 99.87639060568603, 98.14585908529048]","[3.219353348792841, 0.265949625056237, 0.20830512807394067, 0.1193265545880422, 0.05847953310391555, 0.025839599935958784, 0.025477422672944765, 0.04613670835775944, 0.020098633617938805, 0.010953283361838354, 0.005791328803752549, 0.008173018270705748, 0.006216008510818938, 0.007733063545553402, 0.07234581887981524]","[0.006816349832565036, 0.8158733255299779, 0.8459124855896948, 0.9310315430520033, 0.970645863570392, 0.9855215119192497, 0.9855215119192497, 0.9621520467836258, 0.9857134447845538, 0.992833033602353, 0.9976267377765261, 0.9952378149281846, 0.9952690058479532, 0.9976422036797943, 0.9634330449561106]","[3.219353348792841, 0.265949625056237, 0.20830512807394067, 0.1193265545880422, 0.05847953310391555, 0.025839599935958784, 0.025477422672944765, 0.04613670835775944, 0.020098633617938805, 0.010953283361838354, 0.005791328803752549, 0.008173018270705748, 0.006216008510818938, 0.007733063545553402, 0.07234581887981524]","[81.98198198198197, 82.88288288288288, 90.09009009009009, 89.1891891891892, 90.09009009009009, 88.28828828828829, 90.09009009009009, 90.09009009009009, 90.990990990991, 91.8918918918919, 90.09009009009009, 88.28828828828829, 90.990990990991, 86.48648648648648, 87.38738738738738]","[1.4947398975491524, 0.5498890206217766, 0.21746703563258052, 0.46420149877667427, 0.3529331162571907, 0.5517543703317642, 0.3937237043865025, 0.6105222590267658, 0.5941953808069229, 0.49465685337781906, 0.5897615738213062, 0.40823645517230034, 0.8208602964878082, 0.6073124371469021, 0.4884555989410728]","[0.2415035725380553, 0.6618566618566618, 0.8134453781512605, 0.6972727272727273, 0.7680911680911682, 0.707005076142132, 0.8042328042328042, 0.7520812182741117, 0.7664141414141414, 0.8102564102564103, 0.7680911680911682, 0.7562911670325958, 0.7664141414141414, 0.7025192067178845, 0.7679211469534051]","[0.37692955374684256, 0.32382173773645395, 0.6269477543538038, 0.41373239436619713, 0.5404591644712082, 0.4234918098282061, 0.6085283744789997, 0.5121853775469436, 0.542456718878813, 0.6240120436582612, 0.5404591644712082, 0.5133220910623946, 0.542456718878813, 0.40768409818569895, 0.5361194029850747]",
2,VGG19,No Augmentation,Day1,"[78.24474660074165, 86.65018541409147, 90.3584672435105, 91.96538936959209, 94.19035846724351, 94.43757725587145, 95.42645241038319, 97.15698393077874, 96.41532756489494, 96.29171817058096, 92.21260815822002, 96.5389369592089, 96.41532756489494, 96.29171817058096, 98.51668726823239]","[1.2075474138061206, 0.3346387870383985, 0.23530032959851352, 0.22516199709339577, 0.19192232774344808, 0.15701081090126978, 0.12099899551972296, 0.10145101784446249, 0.09300198256405014, 0.14715054433679942, 0.1875891831675262, 0.10867961038214465, 0.09592805383726954, 0.11003352082193349, 0.04850242506698564]","[0.040965381768490586, 0.6837281362214758, 0.7932437745740498, 0.8358754919677776, 0.8846323058671465, 0.8902991348683318, 0.9121892977314665, 0.9446854051161615, 0.9288156780882393, 0.9290350877192983, 0.8442790493038432, 0.9319743417259274, 0.9288156780882393, 0.928567223922769, 0.9710430238384995]","[1.2075474138061206, 0.3346387870383985, 0.23530032959851352, 0.22516199709339577, 0.19192232774344808, 0.15701081090126978, 0.12099899551972296, 0.10145101784446249, 0.09300198256405014, 0.14715054433679942, 0.1875891831675262, 0.10867961038214465, 0.09592805383726954, 0.11003352082193349, 0.04850242506698564]","[80.18018018018019, 88.28828828828829, 88.28828828828829, 90.09009009009009, 87.38738738738738, 87.38738738738738, 87.38738738738738, 90.09009009009009, 90.09009009009009, 89.1891891891892, 88.28828828828829, 91.8918918918919, 84.68468468468468, 90.09009009009009, 89.1891891891892]","[0.5890270948410035, 0.2562261611223221, 0.4193370521068573, 0.24646477848291398, 0.3039876878261566, 0.32034524977207185, 0.7434365570545196, 0.23948948383331298, 0.2505014084279537, 0.249934121966362, 0.2740208864212036, 0.47860229164361956, 0.6102607190608978, 0.500322750210762, 0.4111746773123741]","[0.676984126984127, 0.7795263559969443, 0.6581378820184791, 0.7332313742626175, 0.7444078947368422, 0.7302083333333333, 0.6153465346534653, 0.7818474182597821, 0.8289197141656157, 0.76875, 0.7562911670325958, 0.7971573604060913, 0.7457216008624175, 0.7332313742626175, 0.76875]","[0.3593913955928646, 0.5591200733272228, 0.3425968109339408, 0.48020434227330777, 0.48915187376725844, 0.4619113573407202, 0.2662889518413598, 0.5656350053361793, 0.6590337894442893, 0.5387811634349031, 0.5133220910623946, 0.6008789452656812, 0.49477911646586337, 0.48020434227330777, 0.5387811634349031]",Bacth Size 25
3,Resnet,No Augmentation,Day1,"[81.21137206427689, 84.17799752781211, 84.67243510506799, 84.42521631644006, 87.51545117428925, 89.74042027194066, 89.61681087762669, 95.17923362175526, 93.20148331273177, 96.29171817058096, 96.78615574783683, 95.17923362175526, 96.04449938195303, 99.13473423980223, 93.8195302843016]","[0.8426792236665884, 0.44594750460237265, 0.36132190997401875, 0.36053074337542057, 0.3189017365997036, 0.25570756553982693, 0.24407463458677134, 0.13066406563545266, 0.17170327350807688, 0.10691811010474339, 0.09542597845817606, 0.12165444103690486, 0.11479197489097714, 0.03939848018247479, 0.19589507399359718]","[0.5004549886252844, 0.4570469798657718, 0.4663815481509852, 0.48739791607997746, 0.6663318101445191, 0.7841522413488274, 0.7790479906359734, 0.9042693601876322, 0.8601142476287487, 0.9271153661349221, 0.9363993710691825, 0.9080459435119799, 0.9194904712146093, 0.9834954257585604, 0.8768420411642919]","[0.8426792236665884, 0.44594750460237265, 0.36132190997401875, 0.36053074337542057, 0.3189017365997036, 0.25570756553982693, 0.24407463458677134, 0.13066406563545266, 0.17170327350807688, 0.10691811010474339, 0.09542597845817606, 0.12165444103690486, 0.11479197489097714, 0.03939848018247479, 0.19589507399359718]","[84.68468468468468, 84.68468468468468, 84.68468468468468, 81.98198198198197, 74.77477477477478, 81.08108108108108, 78.37837837837837, 84.68468468468468, 84.68468468468468, 76.57657657657657, 83.78378378378379, 85.58558558558559, 75.67567567567568, 79.27927927927928, 76.57657657657657]","[0.45892900228500366, 0.43418779969215393, 0.4412660747766495, 0.4739990383386612, 0.6778177917003632, 0.7993025183677673, 0.5788527075201273, 0.8084405660629272, 0.7942481338977814, 0.8278593644499779, 0.9251624047756195, 0.9780400395393372, 0.8103489205241203, 1.32083398103714, 0.7753527238965034]","[0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.45049504950495045, 0.5730769230769232, 0.5267005076142132, 0.5618421052631579, 0.4585365853658537, 0.6168527918781725, 0.5484981226533167, 0.6079277864992151, 0.5963636363636363, 0.5420932009167304, 0.5438627836340897, 0.5872425629290617]","[0.0, 0.0, 0.0, -0.04815864022662897, 0.1503553854565337, 0.06871753895325605, 0.12426035502958588, 0.0, 0.24610467439073114, 0.09699624530663331, 0.22558139534883714, 0.2183098591549295, 0.084326306141155, 0.09178228388473852, 0.1763698630136986]",
4,Alexnet,No Augmentation,Day1,"[73.30037082818293, 79.6044499381953, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402, 84.54882571075402]","[2.6640340365702286, 1.0272853560745716, 0.4494759247948726, 0.42960296012461185, 0.42761374823749065, 0.4280864006529252, 0.4277072598536809, 0.42726068074504536, 0.4260512913266818, 0.42770551331341267, 0.42537018842995167, 0.42585027155776817, 0.4303003524740537, 0.427940692131718, 0.4278581505641341]","[0.029934671787873242, 0.510249232270681, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596, 0.4581379772270596]","[2.6640340365702286, 1.0272853560745716, 0.4494759247948726, 0.42960296012461185, 0.42761374823749065, 0.4280864006529252, 0.4277072598536809, 0.42726068074504536, 0.4260512913266818, 0.42770551331341267, 0.42537018842995167, 0.42585027155776817, 0.4303003524740537, 0.427940692131718, 0.4278581505641341]","[84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468]","[0.5001011192798615, 0.4577997997403145, 0.44493529200553894, 0.4351806193590164, 0.4358353167772293, 0.43643906712532043, 0.43606044352054596, 0.43632881343364716, 0.4377725049853325, 0.437494233250618, 0.43766848742961884, 0.4386802464723587, 0.4381273463368416, 0.4408789947628975, 0.43967749923467636]","[0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537, 0.4585365853658537]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
5,Densenet,Conventional Augmentation,Day2,"[70.85076708507671, 91.49232914923292, 98.60529986052998, 99.65132496513249, 97.62900976290098, 96.51324965132495, 99.30264993026499, 99.72105997210599, 99.023709902371, 99.3723849372385, 97.83821478382147, 98.32635983263597, 99.7907949790795, 99.65132496513249, 97.00139470013947]","[1.9340393023519982, 0.20616447434919635, 0.048512481210509134, 0.015551595030091249, 0.06959844569295145, 0.0894420597611404, 0.022043987208545755, 0.006689353608923805, 0.031873981224901114, 0.021138696924647708, 0.05959590730610837, 0.04601558642575472, 0.009301751791698313, 0.009120952761893533, 0.08470236323773861]","[0.008808489650708936, 0.9147740890782927, 0.9860215661694607, 0.9965060710061882, 0.9762334654021338, 0.9650629062594408, 0.9930142695965813, 0.9972046783625731, 0.9902163742690059, 0.9937101186382937, 0.9783403422453953, 0.9832322539405371, 0.9979036426037129, 0.9965060710061882, 0.9699483446051815]","[1.9340393023519982, 0.20616447434919635, 0.048512481210509134, 0.015551595030091249, 0.06959844569295145, 0.0894420597611404, 0.022043987208545755, 0.006689353608923805, 0.031873981224901114, 0.021138696924647708, 0.05959590730610837, 0.04601558642575472, 0.009301751791698313, 0.009120952761893533, 0.08470236323773861]","[85.58558558558559, 90.09009009009009, 86.48648648648648, 93.69369369369369, 90.09009009009009, 87.38738738738738, 90.990990990991, 90.09009009009009, 88.28828828828829, 77.47747747747748, 90.990990990991, 91.8918918918919, 88.28828828828829, 91.8918918918919, 89.1891891891892]","[0.5837265476584435, 0.22398779075592756, 0.28783888497855514, 0.1951351696625352, 0.324252069927752, 0.39228440989973024, 0.31655961021897383, 0.3660677844527527, 0.40423264913260937, 0.7772588297666516, 0.23320188489742577, 0.23734142405737657, 0.3645665198855568, 0.24613758410487208, 0.22140934923663735]","[0.7873563218390804, 0.8216216216216217, 0.7756367066433094, 0.8911307271963009, 0.8134453781512605, 0.8015832482124616, 0.8342293906810035, 0.8216216216216217, 0.7795263559969443, 0.697876973326075, 0.8263454317897372, 0.854054054054054, 0.7891891891891891, 0.8398268398268398, 0.817032967032967]","[0.5844642021525503, 0.6437117011963818, 0.5542168674698795, 0.7830215023736387, 0.6269477543538038, 0.6081694402420574, 0.6686567164179105, 0.6437117011963818, 0.5591200733272228, 0.423436526075213, 0.6526908635794744, 0.7084913918879487, 0.5789320105048148, 0.6797050336646361, 0.6358665937670859]",
6,VGG19,Conventional Augmentation,Day2,"[55.299860529986056, 56.62482566248257, 66.94560669456067, 85.28591352859135, 91.28312412831241, 93.44490934449094, 96.79218967921896, 94.42119944211994, 96.30404463040446, 97.35006973500697, 97.28033472803347, 97.97768479776849, 97.62900976290098, 97.00139470013947, 99.23291492329149]","[1.6847446149793164, 0.7097165646224186, 0.5835252029114756, 0.35576892669858606, 0.22388654073764538, 0.1525785734973334, 0.09382228136207138, 0.16335682359379555, 0.10531758790000759, 0.0890964932894286, 0.07703589105472804, 0.0482040048044492, 0.0698662139354916, 0.0780253445213773, 0.030221994334891044]","[0.04286896340143617, 0.5652122200037437, 0.6692476132083736, 0.8526096328320039, 0.9127453170886288, 0.9343489738069959, 0.9678496021897597, 0.944086264677843, 0.9629643526655949, 0.9734337247193312, 0.9727438474326064, 0.979732604501169, 0.9762366624880832, 0.9699522106532185, 0.9923123672245813]","[1.6847446149793164, 0.7097165646224186, 0.5835252029114756, 0.35576892669858606, 0.22388654073764538, 0.1525785734973334, 0.09382228136207138, 0.16335682359379555, 0.10531758790000759, 0.0890964932894286, 0.07703589105472804, 0.0482040048044492, 0.0698662139354916, 0.0780253445213773, 0.030221994334891044]","[80.18018018018019, 87.38738738738738, 67.56756756756756, 79.27927927927928, 74.77477477477478, 77.47747747747748, 88.28828828828829, 84.68468468468468, 83.78378378378379, 86.48648648648648, 88.28828828828829, 81.98198198198197, 89.1891891891892, 86.48648648648648, 92.7927927927928]","[0.8884546279907226, 0.5333912074565887, 0.7357720196247101, 0.44148785471916197, 0.6105484426021576, 0.5289443552494049, 0.445863875746727, 0.422158545255661, 0.465660035610199, 0.4040331646800041, 1.085684335231781, 0.6516962110996246, 0.4967551201581955, 0.3193256914615631, 0.6587061684578657]","[0.4861111111111111, 0.6468181818181818, 0.5479638009049774, 0.6794726930320151, 0.6656626506024097, 0.7049441786283891, 0.7686387686387687, 0.7243243243243243, 0.7532114624505929, 0.7667087011349306, 0.6847279877649115, 0.7341954022988506, 0.8010752688172044, 0.745607333842628, 0.8610763454317898]","[-0.0065952184666115965, 0.31602112676056326, 0.127891750327368, 0.3685382141973782, 0.3644171779141103, 0.4413126635796256, 0.5373517152933633, 0.44937262912168086, 0.5150485436893204, 0.53504607651494, 0.38569604086845466, 0.4805802526906878, 0.6023880597014926, 0.4912923923006416, 0.7221526908635795]",Bacth Size 25
7,Resnet,Conventional Augmentation,Day2,"[59.41422594142259, 71.54811715481172, 77.19665271966527, 83.40306834030683, 82.63598326359832, 87.16875871687587, 91.70153417015342, 93.93305439330544, 93.86331938633194, 95.39748953974896, 96.09483960948396, 95.74616457461646, 95.81589958158996, 96.65271966527197, 95.60669456066945]","[0.9079294757145208, 0.5366499649315346, 0.4759374100987504, 0.38115836607246867, 0.38755764539648846, 0.28387880361661677, 0.21837136531021537, 0.16347859745345464, 0.15079994890384557, 0.1184899228193411, 0.09778358585133058, 0.12202915158577082, 0.1078841488626672, 0.09614210589448126, 0.12421297427357697]","[0.5938570605456586, 0.7144541621115102, 0.7719477849047777, 0.8339014462057783, 0.8261568534851056, 0.8716066684184405, 0.9168746270474335, 0.9392056355076748, 0.9384416055759246, 0.9538711683592205, 0.9608496995863828, 0.9573793831280357, 0.9580950896640399, 0.9664723486501652, 0.9559527982810563]","[0.9079294757145208, 0.5366499649315346, 0.4759374100987504, 0.38115836607246867, 0.38755764539648846, 0.28387880361661677, 0.21837136531021537, 0.16347859745345464, 0.15079994890384557, 0.1184899228193411, 0.09778358585133058, 0.12202915158577082, 0.1078841488626672, 0.09614210589448126, 0.12421297427357697]","[15.315315315315313, 64.86486486486487, 75.67567567567568, 72.07207207207207, 76.57657657657657, 68.46846846846847, 66.66666666666666, 74.77477477477478, 72.97297297297297, 69.36936936936937, 64.86486486486487, 77.47747747747748, 76.57657657657657, 77.47747747747748, 72.07207207207207]","[2.2295351028442383, 1.146854966878891, 0.9078179746866226, 0.7763056308031082, 0.5093396306037903, 0.6759303659200668, 1.1322198510169983, 0.6633027568459511, 0.934404656291008, 0.9436672329902649, 0.9052614718675613, 1.8875708878040314, 1.458325833082199, 1.3327476233243942, 1.3792020082473755]","[0.1328125, 0.473677811550152, 0.6106275172144991, 0.5363158603961731, 0.5872425629290617, 0.5276595744680852, 0.5729437454507642, 0.6278735632183907, 0.588685770750988, 0.5940189328743546, 0.5831487722676938, 0.5945945945945946, 0.6544540229885057, 0.6394699233467585, 0.567984934086629]","[0.0, -0.03145103645461034, 0.22936487528927751, 0.07871485943775092, 0.1763698630136986, 0.07433881343817017, 0.19800820152313992, 0.272812353766963, 0.191747572815534, 0.22822085889570543, 0.2454244378595084, 0.19025386635541297, 0.3247543284978942, 0.2864489586011828, 0.14889933217907492]",
8,Alexnet,Conventional Augmentation,Day2,"[52.16178521617852, 64.43514644351464, 71.89679218967922, 74.89539748953975, 80.4741980474198, 78.45188284518828, 83.96094839609484, 85.98326359832636, 85.56485355648536, 89.40027894002789, 89.5397489539749, 90.1673640167364, 91.63179916317992, 91.21338912133892, 94.83960948396096]","[1.8891685517822825, 0.657411722148337, 0.5373706574120173, 0.5140344486003969, 0.434397528084313, 0.46155463704248756, 0.3904648993800326, 0.32524049027663904, 0.3461524704244079, 0.25113499827864694, 0.2795855413849761, 0.24487272601165785, 0.23682776904415068, 0.2265404339243726, 0.13208936644354607]","[0.024239728037679077, 0.6440745275838105, 0.71797703514319, 0.748388191050293, 0.8046675086058772, 0.7842669386622394, 0.8395083355230504, 0.859824387776689, 0.8555416858287892, 0.8939778351959655, 0.895323984676716, 0.9016678541120057, 0.9162078093075166, 0.9120901148816833, 0.9483281490729686]","[1.8891685517822825, 0.657411722148337, 0.5373706574120173, 0.5140344486003969, 0.434397528084313, 0.46155463704248756, 0.3904648993800326, 0.32524049027663904, 0.3461524704244079, 0.25113499827864694, 0.2795855413849761, 0.24487272601165785, 0.23682776904415068, 0.2265404339243726, 0.13208936644354607]","[63.96396396396396, 84.68468468468468, 49.549549549549546, 84.68468468468468, 85.58558558558559, 86.48648648648648, 85.58558558558559, 83.78378378378379, 88.28828828828829, 88.28828828828829, 83.78378378378379, 86.48648648648648, 83.78378378378379, 81.08108108108108, 81.98198198198197]","[0.7028527706861496, 0.3928043618798256, 0.7348875030875206, 0.3833960294723511, 0.3882029503583908, 0.43078695982694626, 0.4018753208220005, 0.3967548720538616, 0.392757385969162, 0.4821553397923708, 0.7001378759741783, 0.3956815376877785, 0.6878856420516968, 0.4797475077211857, 0.544556513428688]","[0.5687645687645688, 0.5107596577651023, 0.4728629579375848, 0.7243243243243243, 0.7650793650793651, 0.6619289340101523, 0.6262626262626262, 0.632179675994109, 0.707005076142132, 0.7562911670325958, 0.7142448512585813, 0.6619289340101523, 0.5459090909090909, 0.6733921815889029, 0.6145833333333333]","[0.2155477031802121, 0.07545320921117082, 0.15474571661680714, 0.44937262912168086, 0.534102833158447, 0.3347982421094686, 0.2679307502061006, 0.2692026335040234, 0.4234918098282061, 0.5133220910623946, 0.4297945205479452, 0.3347982421094686, 0.12059859154929564, 0.34906450712091597, 0.23130193905817176]",
9,Densenet,GAN Augmentation,Day3,"[28.37837837837838, 85.13513513513513, 93.58108108108108, 98.64864864864865, 99.32432432432432, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[6.62828070587582, 0.8470336827966902, 0.3433268028828833, 0.05813089395976729, 0.022122420318838622, 0.0038634223553041616, 0.001894166298572802, 0.000994602418763356, 0.0006298244115896523, 0.00046580501172381145, 0.00037621591764036566, 0.0003181387275819563, 0.0002758683897102148, 0.0002422837270488445, 0.00021433433964072415]","[0.004491819099004254, 0.5605432098765432, 0.9341505965553175, 0.9862088244886549, 0.9930607651912979, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[6.62828070587582, 0.8470336827966902, 0.3433268028828833, 0.05813089395976729, 0.022122420318838622, 0.0038634223553041616, 0.001894166298572802, 0.000994602418763356, 0.0006298244115896523, 0.00046580501172381145, 0.00037621591764036566, 0.0003181387275819563, 0.0002758683897102148, 0.0002422837270488445, 0.00021433433964072415]","[20.72072072072072, 84.68468468468468, 74.77477477477478, 80.18018018018019, 85.58558558558559, 86.48648648648648, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 84.68468468468468, 85.58558558558559, 85.58558558558559, 85.58558558558559, 85.58558558558559]","[16.09753441810608, 0.9443896412849426, 5.554534445982426, 1.3055368028581142, 0.5902407616376877, 0.5976682491600513, 0.6351757571101189, 0.6428529806435108, 0.6474981009960175, 0.651101853698492, 0.6556618623435497, 0.6612161882221699, 0.6673330627381802, 0.674064215272665, 0.6810530461370945]","[0.012887495646116336, 0.35115864527629237, 0.6802469135802469, 0.4734264611432241, 0.7459954233409611, 0.745607333842628, 0.7356031946195881, 0.7356031946195881, 0.7356031946195881, 0.7356031946195881, 0.7356031946195881, 0.7459954233409611, 0.7459954233409611, 0.7459954233409611, 0.7459954233409611]","[0.031240702171972612, 0.4293921983671002, 0.4020777222008465, 0.44093406593406603, 0.4931506849315068, 0.4912923923006416, 0.47305222005026526, 0.47305222005026526, 0.47305222005026526, 0.47305222005026526, 0.47305222005026526, 0.4931506849315068, 0.4931506849315068, 0.4931506849315068, 0.4931506849315068]",
10,Densenet,GAN Augmentation,Day3,"[74.61645746164575, 96.51324965132495, 99.23291492329149, 99.72105997210599, 99.9302649930265, 99.442119944212, 96.72245467224548, 98.25662482566248, 99.65132496513249, 97.41980474198047, 96.93165969316597, 99.16317991631799, 99.9302649930265, 100.0, 100.0]","[1.6832922995090485, 0.11950564734274294, 0.02914196181128074, 0.007582521962609551, 0.0016110902803874768, 0.011578781557412784, 0.09344826347660273, 0.0449147263893903, 0.01190613620494288, 0.09781028264097119, 0.08532760016586087, 0.023478146362055956, 0.0049456486030532865, 0.000495152133225929, 0.0002136972291226834]","[0.010559926773201285, 0.9650236395317753, 0.9923143149903015, 0.9972043132338921, 0.9993011242931438, 0.9944093567251462, 0.9671689703464653, 0.9825184287944153, 0.9965056214657187, 0.9741512738504411, 0.969234669995319, 0.9916129397016764, 0.9993012142012376, 1.0, 1.0]","[1.6832922995090485, 0.11950564734274294, 0.02914196181128074, 0.007582521962609551, 0.0016110902803874768, 0.011578781557412784, 0.09344826347660273, 0.0449147263893903, 0.01190613620494288, 0.09781028264097119, 0.08532760016586087, 0.023478146362055956, 0.0049456486030532865, 0.000495152133225929, 0.0002136972291226834]","[86.48648648648648, 89.1891891891892, 90.990990990991, 89.1891891891892, 88.28828828828829, 81.98198198198197, 90.09009009009009, 92.7927927927928, 90.09009009009009, 87.38738738738738, 89.1891891891892, 89.1891891891892, 90.990990990991, 90.990990990991, 90.09009009009009]","[0.36396582424640656, 0.36583434883505106, 0.3193257774692029, 0.7191386837512255, 0.6421751631423831, 0.6899811905459501, 0.5341372322291136, 0.30865584686398506, 0.5910203233361244, 1.1176262684166431, 0.4666772000491619, 0.4196725934743881, 0.7973007634282112, 0.805264912545681, 0.8170948997139931]","[0.6837606837606838, 0.76875, 0.7956553755522827, 0.7547864506627393, 0.7421833124888333, 0.7063492063492064, 0.8216216216216217, 0.8365243004418262, 0.7818474182597821, 0.7679211469534051, 0.7386185243328101, 0.7386185243328101, 0.782182103610675, 0.782182103610675, 0.7520812182741117]","[0.373353406097102, 0.5387811634349031, 0.5940014630577908, 0.5128017556693489, 0.4866595517609391, 0.4176285414480587, 0.6437117011963818, 0.6752011704462326, 0.5656350053361793, 0.5361194029850747, 0.48372093023255813, 0.48372093023255813, 0.569767441860465, 0.569767441860465, 0.5121853775469436]",
